contigName	contigLen	totalAvgDepth	mapped_reads_sorted.bam	mapped_reads_sorted.bam-var
k141_12395	1160	8.15644	8.15644	24.919
k141_1771	1408	6.27742	6.27742	11.1776
k141_5313	1739	6.10006	6.10006	12.3031
k141_7084	1920	8.24181	8.24181	16.4864
k141_3	1466	5.80015	5.80015	8.27101
k141_12396	2288	4.82413	4.82413	4.77951
k141_5315	1202	4.52186	4.52186	6.73692
k141_1772	2560	4.03651	4.03651	2.59892
k141_7085	3074	5.32866	5.32866	7.03425
k141_10625	6066	5.00541	5.00541	7.77115
k141_4	3179	5.57214	5.57214	7.56719
k141_12397	3395	5.70385	5.70385	6.75417
k141_7086	1964	5.13616	5.13616	4.72993
k141_3543	6572	7.89863	7.89863	11.2359
k141_1773	3451	6.86459	6.86459	10.3842
k141_5317	4007	5.05445	5.05445	5.57595
k141_10628	1082	5.27039	5.27039	3.10188
k141_12399	1640	6.76577	6.76577	16.1969
k141_7088	1394	3.73633	3.73633	4.00124
k141_5	3101	6.82752	6.82752	10.1746
k141_10629	1282	4.46113	4.46113	3.2319
k141_12400	1119	6.45614	6.45614	4.63262
k141_7089	1325	5.42723	5.42723	5.53794
k141_5318	2933	4.9346	4.9346	8.7476
k141_6	1287	4.10378	4.10378	2.5931
k141_1774	3475	5.19008	5.19008	8.36872
k141_3546	4558	4.95168	4.95168	8.13079
k141_12402	2863	5.58496	5.58496	5.51196
k141_5319	3161	5.86915	5.86915	5.77174
k141_1775	3467	6.58758	6.58758	17.9268
k141_5320	1199	5.80744	5.80744	10.69
k141_7090	5047	6.78232	6.78232	7.93636
k141_3547	3202	7.51376	7.51376	9.28757
k141_12403	2682	4.36058	4.36058	4.13425
k141_1777	2593	5.68236	5.68236	7.48626
k141_10630	7329	5.35214	5.35214	7.49503
k141_3550	1291	3.93427	3.93427	2.679
k141_7094	2113	6.69333	6.69333	5.50525
k141_10633	2359	5.5971	5.5971	6.41095
k141_1782	2006	6.20797	6.20797	7.50064
k141_12405	5352	5.77509	5.77509	4.94697
k141_3551	4546	4.65059	4.65059	7.07741
k141_10634	2058	6.31709	6.31709	5.95972
k141_12406	1322	6.44795	6.44795	10.2441
k141_1784	2065	4.04073	4.04073	5.17386
k141_7095	5944	5.16327	5.16327	6.6082
k141_10635	2793	5.77563	5.77563	13.4225
k141_3553	3929	4.6978	4.6978	4.82084
k141_12408	3150	6.17	6.17	4.35457
k141_10637	2051	6.44135	6.44135	8.3719
k141_7096	3435	5.32055	5.32055	5.91396
k141_7097	1123	4.28571	4.28571	2.27836
k141_12409	2700	7.00157	7.00157	7.19966
k141_3559	2633	4.78051	4.78051	5.87644
k141_10638	2918	6.34032	6.34032	8.7921
k141_3560	1160	6.60792	6.60792	3.12066
k141_12410	2994	4.31329	4.31329	3.80931
k141_7100	3020	6.46063	6.46063	6.32524
k141_3561	1298	5.21951	5.21951	7.06772
k141_3562	1984	6.77317	6.77317	10.7015
k141_3563	2516	4.30981	4.30981	4.81604
k141_12411	6694	5.46852	5.46852	6.4258
k141_8857	38301	121.945	121.945	263.607
k141_8860	1898	112.67	112.67	335.085
k141_8861	1412	3.58558	3.58558	2.88046
k141_12412	5292	5.32341	5.32341	10.0753
k141_3564	7878	6.93427	6.93427	9.11886
k141_8862	2134	5.3619	5.3619	3.33141
k141_1785	3886	5.9296	5.9296	10.4719
k141_12413	2801	99.1618	99.1618	1277.51
k141_3566	2651	40.9624	40.9624	417.524
k141_1787	4037	5.3859	5.3859	7.86598
k141_1789	1105	4.18429	4.18429	4.62218
k141_8863	7258	6.17923	6.17923	8.45167
k141_12414	5975	5.73854	5.73854	7.59903
k141_3568	5722	5.514	5.514	8.43483
k141_3569	2061	5.05128	5.05128	6.41001
k141_1792	2542	5.21028	5.21028	6.62954
k141_1793	2028	6.24547	6.24547	10.7479
k141_10639	27401	224.563	224.563	691.647
k141_1794	1384	6.81605	6.81605	21.6198
k141_10641	2548	6.70017	6.70017	14.417
k141_1797	2384	4.67368	4.67368	5.46842
k141_10644	2966	5.11861	5.11861	6.6161
k141_1799	3977	5.18422	5.18422	5.15235
k141_1800	1864	4.83606	4.83606	7.9795
k141_1801	1660	4.97881	4.97881	3.86702
k141_10646	4572	5.31592	5.31592	9.65487
k141_1803	1376	188.195	188.195	4695.96
k141_10648	1797	6.05343	6.05343	6.01903
k141_1804	1318	4.48459	4.48459	5.5045
k141_1805	1333	4.53001	4.53001	3.43882
k141_1806	1838	4.97808	4.97808	4.95681
k141_10649	5004	5.97404	5.97404	14.6768
k141_10650	4387	5.11352	5.11352	5.99202
k141_1807	7348	5.24979	5.24979	8.40297
k141_1809	1826	4.41826	4.41826	6.42257
k141_1810	1142	13.9587	13.9587	22.7622
k141_10651	4781	5.63852	5.63852	7.94752
k141_3570	33391	154.235	154.235	307.716
k141_10652	1493	4.52048	4.52048	3.00536
k141_3571	1196	4.34034	4.34034	3.1204
k141_1812	2327	5.98668	5.98668	5.86332
k141_3572	1286	6.21303	6.21303	2.94668
k141_1813	2028	4.69063	4.69063	3.48709
k141_3574	1901	7.26156	7.26156	23.8458
k141_3575	1201	6.8725	6.8725	13.5132
k141_1817	3124	5.03194	5.03194	6.42589
k141_10654	8795	6.55836	6.55836	7.13746
k141_1819	1323	10.7528	10.7528	139.79
k141_3576	4493	6.45798	6.45798	10.6356
k141_1820	3056	4.81796	4.81796	6.56541
k141_3579	2815	5.79325	5.79325	11.7594
k141_3580	1095	5.0963	5.0963	4.59136
k141_10655	5876	6.41582	6.41582	9.22451
k141_3583	2298	6.48976	6.48976	7.60176
k141_10656	2971	4.92769	4.92769	5.31674
k141_10658	1951	5.42865	5.42865	10.2017
k141_10659	1381	181.128	181.128	1005.94
k141_3586	5089	5.79348	5.79348	8.08924
k141_3587	1240	3.67982	3.67982	1.44469
k141_10660	2891	5.75775	5.75775	7.72231
k141_10661	1566	6.9774	6.9774	10.7698
k141_12415	62185	190.464	190.464	607.369
k141_12417	1508	641.199	641.199	48480.1
